Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Ilya Mikheyev,20202021,TOR,L,R,30,4,5,9,-1,4,0.3,4,9,0,0,0,0,0,2,60,6.7,14:30,100
Craig Smith,20202021,BOS,R,C,24,4,5,9,3,12,0.38,4,8,0,1,0,0,1,2,57,7,14:49,46.2
Cody Glass,20202021,VGK,R,C,20,3,6,9,3,4,0.45,0,5,3,4,0,0,0,0,22,13.6,14:25,43.6
Nick Cousins,20202021,NSH,L,C,28,3,6,9,-2,25,0.32,3,5,0,4,0,0,0,0,33,9.1,13:45,55.6
Sam Steel,20202021,ANA,L,C,27,3,6,9,-3,6,0.33,3,9,0,0,0,0,0,0,23,13,15:03,56
Erik Haula,20202021,NSH,L,L,25,3,6,9,-5,8,0.36,1,5,1,3,1,1,0,0,32,9.4,15:37,56.8
Austin Watson,20202021,OTT,R,L,31,3,6,9,-7,40,0.29,3,8,0,0,0,1,0,0,36,8.3,12:04,26.1
Nate Schmidt,20202021,VAN,L,D,31,3,6,9,2,2,0.29,3,9,0,0,0,0,0,1,45,6.7,20:23,--
Vince Dunn,20202021,STL,L,D,27,3,6,9,-6,10,0.33,2,7,1,2,0,0,0,0,43,7,19:23,--
Ryan Hartman,20202021,MIN,R,R,21,3,6,9,4,10,0.43,2,7,0,0,1,2,0,0,33,9.1,13:02,45.3
Luke Glendening,20202021,DET,R,C,27,3,6,9,-2,10,0.33,3,9,0,0,0,0,0,1,29,10.3,14:12,65.7
Garnet Hathaway,20202021,WSH,R,R,27,3,6,9,7,21,0.33,3,9,0,0,0,0,0,0,22,13.6,12:10,41.7
Ryan Ellis,20202021,NSH,R,D,21,2,7,9,-7,6,0.43,0,5,2,4,0,0,0,0,45,4.4,24:39:00,--
Trevor Moore,20202021,LAK,L,C,27,2,7,9,1,10,0.33,1,8,0,0,1,1,0,0,37,5.4,13:16,50
Teuvo Teravainen,20202021,CAR,L,L,13,2,7,9,4,2,0.69,2,7,0,2,0,0,0,1,31,6.5,16:09,58.3
Brandon Hagel,20202021,CHI,L,L,26,2,7,9,-1,9,0.35,2,8,0,0,0,1,0,0,39,5.1,13:21,25
Travis Zajac,20202021,NJD,R,C,21,2,7,9,2,6,0.43,2,9,0,0,0,0,0,0,20,10,16:12,53.5
Damon Severson,20202021,NJD,R,D,25,2,7,9,-6,12,0.36,2,6,0,2,0,1,0,0,47,4.3,22:57,--
Ryan Johansen,20202021,NSH,R,C,21,2,7,9,-2,12,0.43,2,5,0,4,0,0,0,0,34,5.9,17:53,50.5
Erik Karlsson,20202021,SJS,R,D,21,2,7,9,1,4,0.43,0,5,2,4,0,0,0,0,41,4.9,24:12:00,--
Jaden Schwartz,20202021,STL,L,L,14,2,7,9,9,10,0.64,2,8,0,1,0,0,0,0,23,8.7,18:18,60
Erik Cernak,20202021,TBL,R,D,24,1,8,9,10,19,0.38,1,9,0,0,0,0,0,0,46,2.2,18:22,--
Travis Sanheim,20202021,PHI,L,D,24,1,8,9,-1,8,0.38,1,9,0,0,0,0,0,0,30,3.3,21:37,--
Jaccob Slavin,20202021,CAR,L,D,24,1,8,9,6,2,0.38,1,7,0,1,0,1,0,0,38,2.6,23:06,--
Jake Bean,20202021,CAR,L,D,17,1,8,9,1,4,0.53,0,5,1,4,0,0,0,0,26,3.9,13:48,--
Ryan Lindgren,20202021,NYR,L,D,26,0,9,9,3,25,0.35,0,9,0,0,0,0,0,0,28,0,19:39,--
Nic Dowd,20202021,WSH,R,C,27,6,2,8,6,20,0.3,6,8,0,0,0,0,0,2,29,20.7,14:22,54.4
Conor Sheary,20202021,WSH,L,L,24,6,2,8,-1,10,0.33,6,8,0,0,0,0,0,0,27,22.2,12:35,20
Charlie Coyle,20202021,BOS,R,C,24,5,3,8,-3,12,0.33,4,7,0,0,1,1,0,1,34,14.7,16:57,49.2
Shayne Gostisbehere,20202021,PHI,L,D,19,5,3,8,0,0,0.42,2,4,3,4,0,0,0,0,51,9.8,20:30,--
Pierre-Luc Dubois,20202021,"CBJ,WPG",L,L,17,5,3,8,-4,10,0.47,5,7,0,1,0,0,2,3,29,17.2,15:22,43
Dominik Kahun,20202021,EDM,L,C,25,4,4,8,0,2,0.32,4,8,0,0,0,0,0,0,38,10.5,13:06,50
Jason Dickinson,20202021,DAL,L,C,24,4,4,8,-5,12,0.33,4,7,0,1,0,0,1,2,24,16.7,16:34,44.1
Dylan Strome,20202021,CHI,L,C,19,4,4,8,-5,6,0.42,1,2,3,6,0,0,0,0,32,12.5,16:31,44.6
Rasmus Ristolainen,20202021,BUF,R,D,19,3,5,8,-10,14,0.42,2,4,1,4,0,0,0,0,37,8.1,22:34,--
Eetu Luostarinen,20202021,FLA,L,C,27,3,5,8,-5,10,0.3,3,8,0,0,0,0,0,1,29,10.3,14:51,48.6
Pat Maroon,20202021,TBL,L,L,27,3,5,8,0,42,0.3,1,4,2,4,0,0,0,0,26,11.5,11:27,18.2
Radek Faksa,20202021,DAL,L,C,24,3,5,8,-3,10,0.33,2,6,0,1,1,1,0,0,35,8.6,17:20,57.6
Jujhar Khaira,20202021,EDM,L,L,21,3,5,8,2,33,0.38,3,8,0,0,0,0,0,2,25,12,12:20,46.1
Tyler Ennis,20202021,EDM,L,C,21,3,5,8,1,6,0.38,3,8,0,0,0,0,0,2,24,12.5,12:17,66.7
Travis Boyd,20202021,TOR,R,C,20,3,5,8,1,2,0.4,2,7,1,1,0,0,0,0,15,20,9:40,24
Matt Duchene,20202021,NSH,L,C,23,3,5,8,-11,4,0.35,2,5,1,3,0,0,0,0,52,5.8,16:44,54.4
Cal Clutterbuck,20202021,NYI,R,R,27,3,5,8,0,2,0.3,3,8,0,0,0,0,0,1,26,11.5,13:11,--
Adam Pelech,20202021,NYI,L,D,29,2,6,8,12,18,0.28,2,7,0,0,0,1,0,0,47,4.3,20:52,--
Scott Mayfield,20202021,NYI,R,D,29,2,6,8,-3,22,0.28,2,8,0,0,0,0,0,0,41,4.9,19:32,--
Zdeno Chara,20202021,WSH,L,D,27,2,6,8,11,16,0.3,2,8,0,0,0,0,0,0,36,5.6,19:08,--
Nicolas Hague,20202021,VGK,L,D,22,2,6,8,6,6,0.36,2,8,0,0,0,0,0,0,35,5.7,16:28,--
Richard Panik,20202021,WSH,L,R,27,2,6,8,-6,14,0.3,1,7,1,1,0,0,0,0,34,5.9,12:19,33.3
Anton Stralman,20202021,FLA,R,D,23,2,6,8,-3,6,0.35,2,8,0,0,0,0,0,0,23,8.7,20:02,--
Ryan McDonagh,20202021,TBL,L,D,27,2,6,8,8,10,0.3,2,8,0,0,0,0,0,0,46,4.4,22:29,--
Brenden Dillon,20202021,WSH,L,D,27,1,7,8,8,27,0.3,1,8,0,0,0,0,0,0,25,4,19:12,--
Colton Parayko,20202021,STL,R,D,16,1,7,8,1,12,0.5,1,8,0,0,0,0,0,0,32,3.1,22:08,--
Ryan Suter,20202021,MIN,L,D,26,0,8,8,4,8,0.31,0,7,0,1,0,0,0,0,45,0,22:34,--
Mario Ferraro,20202021,SJS,L,D,25,0,8,8,-7,10,0.32,0,6,0,2,0,0,0,0,33,0,22:33,--
Brandon Sutter,20202021,VAN,R,C,31,6,1,7,-6,2,0.23,5,6,0,0,1,1,0,0,50,12,14:48,55.5
Daniel Sprong,20202021,WSH,R,R,16,5,2,7,3,2,0.44,5,7,0,0,0,0,0,0,18,27.8,9:56,50
Tyler Bertuzzi,20202021,DET,L,L,9,5,2,7,0,4,0.78,2,3,3,4,0,0,1,1,20,25,19:37,50
Isac Lundestrom,20202021,ANA,L,C,22,5,2,7,-6,14,0.32,5,7,0,0,0,0,0,0,35,14.3,14:51,45
Ryan Dzingel,20202021,"CAR,OTT",L,L,17,5,2,7,-3,10,0.41,3,5,2,2,0,0,0,0,22,22.7,13:18,33.3
Jimmy Vesey,20202021,TOR,L,L,30,5,2,7,-4,4,0.23,5,7,0,0,0,0,0,1,32,15.6,11:07,0
Jason Zucker,20202021,PIT,L,L,17,4,3,7,-5,8,0.41,4,7,0,0,0,0,0,0,30,13.3,16:30,28.6
Alexis Lafrenière,20202021,NYR,L,L,26,4,3,7,-8,4,0.27,4,7,0,0,0,0,1,2,35,11.4,14:54,40
Kevin Stenlund,20202021,CBJ,R,C,19,4,3,7,-3,6,0.37,4,6,0,1,0,0,0,1,24,16.7,12:17,46.7
Troy Terry,20202021,ANA,R,R,22,4,3,7,0,8,0.32,4,7,0,0,0,0,0,0,35,11.4,12:59,66.7
Kevin Rooney,20202021,NYR,L,C,24,4,3,7,3,11,0.29,3,6,0,0,1,1,0,0,24,16.7,12:26,43.5
Curtis Lazar,20202021,BUF,R,C,24,4,3,7,-3,0,0.29,4,7,0,0,0,0,0,0,21,19.1,13:13,50.8
Carl Hagelin,20202021,WSH,L,L,27,3,4,7,3,2,0.26,3,7,0,0,0,0,0,0,42,7.1,14:18,30
John Leonard,20202021,SJS,L,L,20,3,4,7,-8,2,0.35,2,6,1,1,0,0,0,0,27,11.1,12:43,0
Sammy Blais,20202021,STL,L,L,18,3,4,7,-2,8,0.39,3,7,0,0,0,0,0,1,14,21.4,12:05,--
Michael Raffl,20202021,PHI,L,L,21,3,4,7,0,12,0.33,3,7,0,0,0,0,0,2,19,15.8,13:10,38.1
Andrew Cogliano,20202021,DAL,L,C,24,3,4,7,5,11,0.29,3,7,0,0,0,0,0,0,38,7.9,13:14,33.3
Andreas Johnsson,20202021,NJD,L,L,25,3,4,7,3,8,0.28,2,6,1,1,0,0,0,0,31,9.7,14:21,41.7
Joel Kiviranta,20202021,DAL,L,L,15,3,4,7,4,6,0.47,2,6,1,1,0,0,0,0,16,18.8,12:30,20
Adam Erne,20202021,DET,L,L,21,3,4,7,-4,13,0.33,2,4,1,3,0,0,0,0,23,13,12:04,54.6
Rudolfs Balcers,20202021,SJS,L,L,13,2,5,7,-3,2,0.54,2,6,0,1,0,0,0,1,17,11.8,14:10,0
K'Andre Miller,20202021,NYR,L,D,23,2,5,7,7,8,0.3,2,6,0,0,0,1,0,1,24,8.3,20:13,--
Mikhail Grigorenko,20202021,CBJ,L,C,18,2,5,7,-1,2,0.39,2,7,0,0,0,0,0,0,17,11.8,12:52,25
Connor Murphy,20202021,CHI,R,D,23,2,5,7,2,12,0.3,2,6,0,0,0,1,0,1,34,5.9,22:19,--
Michael Del Zotto,20202021,CBJ,L,D,29,2,5,7,8,4,0.24,2,7,0,0,0,0,0,0,50,4,16:40,--
Nicolas Aube-Kubel,20202021,PHI,R,R,24,2,5,7,-3,21,0.29,2,7,0,0,0,0,0,0,19,10.5,11:49,0
Oskar Lindblom,20202021,PHI,L,L,22,2,5,7,-4,2,0.32,2,7,0,0,0,0,0,0,33,6.1,14:38,--
Paul Byron,20202021,MTL,L,L,26,2,5,7,2,8,0.27,2,7,0,0,0,0,0,0,22,9.1,12:31,50
Jordie Benn,20202021,VAN,L,D,25,1,6,7,2,7,0.28,1,7,0,0,0,0,0,0,30,3.3,14:44,--
Phillip Di Giuseppe,20202021,NYR,L,L,23,1,6,7,2,2,0.3,1,7,0,0,0,0,0,0,37,2.7,11:26,40
Drake Caggiula,20202021,ARI,L,C,21,1,6,7,-1,15,0.33,1,7,0,0,0,0,0,0,27,3.7,12:05,37.5
Carson Soucy,20202021,MIN,L,D,21,1,6,7,11,22,0.33,1,7,0,0,0,0,0,1,13,7.7,15:36,--
Juuso Valimaki,20202021,CGY,L,D,28,1,6,7,-8,14,0.25,1,7,0,0,0,0,0,0,39,2.6,15:49,--
Joel Edmundson,20202021,MTL,L,D,27,1,6,7,25,11,0.26,1,7,0,0,0,0,0,0,40,2.5,19:36,--
Jordan Martinook,20202021,CAR,L,L,24,1,6,7,-4,10,0.29,1,6,0,0,0,1,0,0,26,3.9,12:20,51.7
Jake Gardiner,20202021,CAR,L,D,17,0,7,7,2,2,0.41,0,4,0,3,0,0,0,0,15,0,15:48,--
David Kampf,20202021,CHI,L,C,29,0,7,7,2,18,0.24,0,7,0,0,0,0,0,0,39,0,14:36,52.4
Tyler Motte,20202021,VAN,L,C,15,5,1,6,-1,12,0.4,5,6,0,0,0,0,0,1,29,17.2,16:02,37.9
